MakeName,McLaren,Maserati,MINI,Chevrolet,Porsche,Acura,Mercedes-Benz,Ford,Genesis,Smart,Dodge,Scion,Rolls-Royce,Cadillac,Honda,Hyundai,Volkswagen,Mazda,Jeep,Infiniti,LandRover,Kia,Mitsubishi,BMW,FIAT,Lincoln,Lamborghini,Jaguar,GMC,Toyota,Nissan,AstonMartin,Volvo,Ferrari,Chrysler,Bentley,Tesla,Ram,AlfaRomeo,Subaru,Buick,Lexus,Audi,,
Audi,83,40,86,41,57,156,77,30,39,59,24,33,26,47,126,29,14,44,17,28,27,38,16,13,70,40,42,41,55,102,19,142,55,21,17,37,68,16,30,59,12,54,956,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MakeName,McLaren,Maserati,MINI,Chevrolet,Porsche,Acura,Mercedes-Benz,Ford,Genesis,Smart,Dodge,Scion,Rolls-Royce,Cadillac,Honda,Hyundai,Volkswagen,Mazda,Jeep,Infiniti,Land Rover,Kia,Mitsubishi,BMW,FIAT,Lincoln,Lamborghini,Jaguar,GMC,Toyota,Nissan,Aston Martin,Volvo,Ferrari,Chrysler,Bentley,Tesla,Ram,Alfa Romeo,Subaru,Buick,Lexus,Audi,,
McLaren,2344,2,195,13,13,179,40,15,3,78,22,28,2,73,274,45,6,55,4,39,38,18,11,5,163,11,46,5,108,357,7,154,13,17,7,15,30,5,21,72,5,52,83,,
Maserati,38,90,48,8,14,50,10,4,8,22,1,6,4,9,43,3,6,16,1,2,5,7,2,3,18,6,10,14,24,46,0,48,12,7,1,12,17,4,12,13,2,17,40,,
MINI,173,5,2044,6,11,144,30,6,5,149,15,39,5,29,313,30,55,43,1,32,11,28,9,6,57,9,41,15,62,205,1,133,18,36,3,12,23,13,20,38,14,17,86,,
Chevrolet,32,10,24,176,16,69,9,0,6,18,3,4,5,5,42,8,4,12,1,3,3,12,3,0,11,7,15,10,31,37,0,65,17,2,2,4,21,3,15,19,1,14,41,,
